Dock,Mat,Shell,Barnacles,Arb. Bryo.,Enc. Bryo.,   Tubeworms,Hydroids,Tunicates,Oysters,Sponges,Anemones,Algae,Biofilm,Slippersnail,Feather Duster Worm,Amphipod Tubes,Bare Shell,Ribbed Mussel,Silt,Green Lipped Mussel,Whelk Eggs,Season,Date
Lighthouse Cove,1-North,pink,10,0,0,0,0,0,30,20,1,0,29,10,0,0,0,0,0,0,0,fall,10/21/2020
Lighthouse Cove,1-North,green,30,0,0,0,0,0,10,40,0,0,0,10,0,0,0,0,0,0,0,fall,10/21/2020
Lighthouse Cove,1-North,purple,40,0,0,0,0,15,0,15,5,0,5,20,0,0,0,0,0,0,0,fall,10/21/2020
Lighthouse Cove,1-North,red,25,0,5,0,0,0,30,0,0,0,40,0,0,0,0,0,0,0,0,fall,10/21/2020
Lighthouse Cove,1-North,yellow,5,0,0,0,0,5,50,10,0,0,30,0,0,0,0,0,0,0,0,fall,10/21/2020
Lighthouse Cove,1-North,aqua,5,0,0,0,0,5,50,0,5,0,25,10,0,0,0,0,0,0,0,fall,10/21/2020
Lighthouse Cove,2-South,red,5,0,0,2,0,1,20,20,0,0,43,5,0,0,0,0,0,0,0,fall,10/21/2020
Lighthouse Cove,2-South,purple,70,0,5,0,0,0,0,10,0,0,15,0,0,0,0,0,0,0,0,fall,10/21/2020
Lighthouse Cove,2-South,yellow,25,0,5,0,0,5,20,15,0,0,30,0,0,0,0,0,0,0,0,fall,10/21/2020
Lighthouse Cove,2-South,pink,0,0,15,2,0,5,25,0,0,0,53,0,0,0,0,0,0,0,0,fall,10/21/2020
Lighthouse Cove,2-South,green,40,0,5,0,0,1,0,3,0,0,51,0,0,0,0,0,0,0,0,fall,10/21/2020
Lighthouse Cove,2-South,aqua,15,0,0,0,0,30,15,15,0,0,25,0,0,0,0,0,0,0,0,fall,10/21/2020
Lighthouse Cove,3-North,aqua,10,0,5,0,0,0,20,5,0,0,60,0,0,0,0,0,0,0,0,fall,10/21/2020
Lighthouse Cove,3-North,red,35,0,10,0,0,1,25,20,0,0,9,0,0,0,0,0,0,0,0,fall,10/21/2020
Lighthouse Cove,3-North,pink,20,0,2,0,0,0,50,10,0,0,18,0,0,0,0,0,0,0,0,fall,10/21/2020
Lighthouse Cove,3-North,purple,40,0,2,0,0,5,10,30,0,0,13,0,0,0,0,0,0,0,0,fall,10/21/2020
Lighthouse Cove,3-North,green,35,0,0,0,0,5,2,30,0,0,28,0,0,0,0,0,0,0,0,fall,10/21/2020
Lighthouse Cove,3-North,yellow,30,0,5,0,0,0,5,0,2,0,58,0,0,0,0,0,0,0,0,fall,10/21/2020
Lighthouse Cove,4- South,pink,1,0,5,0,0,5,65,0,0,0,23,0,0,0,0,1,0,0,0,fall,10/21/2020
Lighthouse Cove,4- South,aqua,1,0,0,0,0,20,60,0,0,0,19,0,0,0,0,0,0,0,0,fall,10/21/2020
Lighthouse Cove,4- South,purple,40,0,15,0,0,0,5,10,0,0,30,0,0,0,0,0,0,0,0,fall,10/21/2020
Lighthouse Cove,4- South,red,5,0,0,0,0,0,50,10,0,0,35,0,0,0,0,0,0,0,0,fall,10/21/2020
Lighthouse Cove,4- South,yellow,10,0,10,0,10,1,25,0,0,0,44,0,0,0,0,0,0,0,0,fall,10/21/2020
Lighthouse Cove,4- South,green,15,0,0,0,0,0,50,10,0,0,25,0,0,0,0,0,0,0,0,fall,10/21/2020
Lighthouse Cove,5-North,yellow,5,0,5,0,0,25,25,0,0,0,40,0,0,0,0,0,0,0,0,fall,10/21/2020
Lighthouse Cove,5-North,aqua,40,0,5,0,0,0,1,10,1,0,43,0,0,0,0,0,0,0,0,fall,10/21/2020
Lighthouse Cove,5-North,green,55,0,10,0,0,0,5,0,1,0,29,0,0,0,0,0,0,0,0,fall,10/21/2020
Lighthouse Cove,5-North,red,60,0,15,0,0,0,2,10,0,0,13,0,0,0,0,0,0,0,0,fall,10/21/2020
Lighthouse Cove,5-North,pink,50,0,5,0,0,0,0,25,0,0,20,0,0,0,0,0,0,0,0,fall,10/21/2020
Lighthouse Cove,5-North,purple,25,0,5,0,0,0,5,0,0,0,65,0,0,0,0,0,0,0,0,fall,10/21/2020
Lighthouse Cove,6-South,aqua,60,0,5,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,fall,10/21/2020
Lighthouse Cove,6-South,green,50,0,5,0,0,0,10,10,0,0,25,0,0,0,0,0,0,0,0,fall,10/21/2020
Lighthouse Cove,6-South,yellow,35,0,2,0,0,0,0,25,1,0,27,0,0,0,10,0,0,0,0,fall,10/21/2020
Lighthouse Cove,6-South,purple,20,0,0,0,0,10,25,0,0,0,45,0,0,0,0,0,0,0,0,fall,10/21/2020
Lighthouse Cove,6-South,red,5,0,0,0,0,20,20,0,0,0,55,0,0,0,0,0,0,0,0,fall,10/21/2020
Lighthouse Cove,6-South,pink,15,0,0,0,0,0,40,30,0,0,15,0,0,0,0,0,0,0,0,fall,10/21/2020
Lighthouse Cove,1-North,aqua,5,0,15,1,5,15,5,20,2,0,17,15,0,0,0,0,0,0,0,spring,2/12/2021
Lighthouse Cove,1-North,yellow,5,0,20,0,3,15,20,10,2,0,15,10,0,0,0,0,0,0,0,spring,2/12/2021
Lighthouse Cove,1-North,pink,5,0,10,0,5,5,20,40,1,1,8,5,0,0,0,0,0,0,0,spring,2/12/2021
Lighthouse Cove,1-North,green,5,0,0,0,5,0,20,50,1,0,14,5,0,0,0,0,0,0,0,spring,2/12/2021
Lighthouse Cove,1-North,red,25,0,5,0,5,15,15,20,0,0,5,10,0,0,0,0,0,0,0,spring,2/12/2021
Lighthouse Cove,1-North,purple,15,0,5,0,3,10,15,30,3,1,13,5,0,0,0,0,0,0,0,spring,2/12/2021
Lighthouse Cove,2-South,pink,0,0,10,0,5,0,0,25,5,0,50,5,0,0,0,0,0,0,0,spring,2/12/2021
Lighthouse Cove,2-South,yellow,5,0,5,0,5,0,0,20,0,0,60,5,0,0,0,0,0,0,0,spring,2/12/2021
Lighthouse Cove,2-South,aqua,5,0,5,0,0,5,0,25,10,5,40,5,0,0,0,0,0,0,0,spring,2/12/2021
Lighthouse Cove,2-South,red,0,0,5,0,0,20,0,60,0,5,10,0,0,0,0,0,0,0,0,spring,2/12/2021
Lighthouse Cove,2-South,green,15,0,5,0,5,5,0,15,5,5,40,5,0,0,0,0,0,0,0,spring,2/12/2021
Lighthouse Cove,3-North,red,40,0,10,0,5,10,0,20,5,5,2,3,0,0,0,0,0,0,0,spring,2/12/2021
Lighthouse Cove,3-North,pink,40,0,10,0,0,5,10,20,0,0,10,5,0,0,0,0,0,0,0,spring,2/12/2021
Lighthouse Cove,3-North,green,10,0,0,0,0,0,30,20,5,0,35,0,0,0,0,0,0,0,0,spring,2/12/2021
Lighthouse Cove,3-North,yellow,10,0,0,0,5,5,0,15,5,0,60,0,0,0,0,0,0,0,0,spring,2/12/2021
Lighthouse Cove,3-North,aqua,15,0,5,0,0,0,50,5,0,0,20,5,0,0,0,0,0,0,0,spring,2/12/2021
Lighthouse Cove,4-South,aqua,5,0,10,0,5,0,40,20,0,0,0,0,0,0,0,0,0,0,0,spring,2/12/2021
Lighthouse Cove,4-South,pink,5,0,20,0,0,20,25,0,0,0,0,0,0,0,0,0,0,0,0,spring,2/12/2021
Lighthouse Cove,4-South,yellow,15,0,15,0,5,10,50,0,0,0,0,0,0,0,0,0,0,0,0,spring,2/12/2021
Lighthouse Cove,4-South,green,10,0,5,0,0,5,60,15,0,0,0,0,0,0,0,0,0,0,0,spring,2/12/2021
Lighthouse Cove,4-South,purple,40,0,15,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,spring,2/12/2021
Lighthouse Cove,4-South,red,0,0,5,0,0,20,60,5,1,0,4,5,0,0,0,0,0,0,0,spring,2/12/2021
Lighthouse Cove,5-North,green,30,0,0,0,5,0,5,35,5,0,20,0,0,0,0,0,0,0,0,spring,2/12/2021
Lighthouse Cove,5-North,pink,25,0,0,0,5,0,5,55,5,0,5,0,0,0,0,0,0,0,0,spring,2/12/2021
Lighthouse Cove,5-North,purple,5,0,10,0,5,0,0,5,5,0,60,10,0,0,0,0,0,0,0,spring,2/12/2021
Lighthouse Cove,5-North,aqua,25,0,0,0,5,0,10,50,0,0,10,0,0,0,0,0,0,0,0,spring,2/12/2021
Lighthouse Cove,5-North,yellow,5,0,0,0,0,50,10,0,5,0,17,0,0,0,0,0,0,0,0,spring,2/12/2021
Lighthouse Cove,6-South,aqua,15,0,5,0,5,5,0,10,3,0,51,0,0,0,5,0,0,0,0,spring,2/12/2021
Lighthouse Cove,6-South,green,20,0,5,0,3,0,0,30,0,5,37,0,0,0,0,0,0,0,0,spring,2/12/2021
Lighthouse Cove,6-South,pink,20,0,5,0,5,5,20,10,1,5,19,10,0,0,0,0,0,0,0,spring,2/12/2021
Lighthouse Cove,6-South,red,5,0,15,0,5,20,20,10,1,0,19,5,0,0,0,0,0,0,0,spring,2/12/2021
Lighthouse Cove,6-South,purple,15,0,10,0,5,20,20,10,1,0,16,3,0,0,0,0,0,0,0,spring,2/12/2021
Lighthouse Cove,1-North,red,10,0,10,0,0,0,25,15,0,0,38,2,0,0,0,0,0,0,0,summer,6/8/2021
Lighthouse Cove,1-North,Purple,5,0,5,0,0,10,40,20,5,0,15,0,0,0,0,0,0,0,0,summer,6/8/2021
Lighthouse Cove,1-North,yellow,10,0,5,0,0,15,25,10,5,0,20,5,0,0,5,0,0,0,0,summer,6/8/2021
Lighthouse Cove,1-North,green,10,0,5,0,5,0,25,40,2,0,13,0,0,0,0,0,0,0,0,summer,6/8/2021
Lighthouse Cove,1-North,pink,30,0,15,0,5,0,25,10,5,0,5,5,0,0,0,0,0,0,0,summer,6/8/2021
Lighthouse Cove,1-North,aqua,15,0,20,0,0,0,20,15,5,0,20,5,0,0,0,0,0,0,0,summer,6/8/2021
Lighthouse Cove,2-South,aqua,10,0,5,0,2,10,45,5,0,5,16,2,0,0,0,0,0,0,0,summer,6/8/2021
Lighthouse Cove,2-South,yellow,5,0,5,0,1,0,15,40,0,0,32,2,0,0,0,0,0,0,0,summer,6/8/2021
Lighthouse Cove,2-South,green,5,0,5,0,3,0,40,0,0,0,42,5,0,0,0,0,0,0,0,summer,6/8/2021
Lighthouse Cove,2-South,pink,0,0,15,0,1,0,50,10,0,0,24,3,0,0,0,0,0,0,0,summer,6/8/2021
Lighthouse Cove,2-South,red,10,0,5,0,1,0,40,20,0,5,20,5,0,0,0,0,0,0,0,summer,6/8/2021
Lighthouse Cove,3-North,pink,25,0,0,0,0,0,50,10,0,0,15,0,0,0,0,0,0,0,0,summer,6/8/2021
Lighthouse Cove,3-North,Purple,15,0,0,1,0,0,10,40,0,0,34,0,0,0,0,0,0,0,0,summer,6/8/2021
Lighthouse Cove,3-North,aqua,45,0,0,0,5,0,15,20,0,0,10,5,0,0,0,0,0,0,0,summer,6/8/2021
Lighthouse Cove,3-North,yellow,40,0,5,0,5,0,0,0,10,0,35,5,0,0,0,0,0,0,0,summer,6/8/2021
Lighthouse Cove,3-North,red,10,0,5,0,5,0,30,25,1,0,19,5,0,0,0,0,0,0,0,summer,6/8/2021
Lighthouse Cove,4-South,red,2,0,10,0,2,0,50,15,2,0,14,5,0,0,0,0,0,0,0,summer,6/8/2021
Lighthouse Cove,4-South,yellow,10,0,10,0,1,0,20,15,0,0,39,5,0,0,0,0,0,0,0,summer,6/8/2021
Lighthouse Cove,4-South,green,0,0,15,0,1,0,20,20,0,0,29,15,0,0,0,0,0,0,0,summer,6/8/2021
Lighthouse Cove,4-South,pink,3,0,0,0,0,0,50,30,0,0,12,5,0,0,0,0,0,0,0,summer,6/8/2021
Lighthouse Cove,4-South,purple,20,0,20,0,0,0,0,10,3,40,5,2,0,0,0,0,0,0,0,summer,6/8/2021
Lighthouse Cove,5-North,purple,10,0,10,0,0,0,0,0,5,0,65,10,0,0,0,0,0,0,0,summer,6/8/2021
Lighthouse Cove,5-North,pink,25,0,15,0,0,0,0,10,5,0,44,2,0,0,0,0,0,0,0,summer,6/8/2021
Lighthouse Cove,5-North,green,15,0,5,0,0,0,50,15,5,0,10,10,0,0,0,0,0,0,0,summer,6/8/2021
Lighthouse Cove,5-North,aqua,5,0,5,0,0,5,25,15,5,0,35,5,0,0,0,0,0,0,0,summer,6/8/2021
Lighthouse Cove,5-North,yellow,5,0,0,0,0,5,60,10,5,0,15,0,0,0,0,0,0,0,0,summer,6/8/2021
Lighthouse Cove,6-South,aqua,20,0,15,1,1,0,5,15,1,0,42,0,0,0,0,0,0,0,0,summer,6/8/2021
Lighthouse Cove,6-South,green,10,0,25,0,1,1,10,15,0,15,21,2,0,0,0,0,0,0,0,summer,6/8/2021
Lighthouse Cove,6-South,purple,10,0,10,0,3,0,25,10,0,5,30,2,0,0,5,0,0,0,0,summer,6/8/2021
Lighthouse Cove,6-South,red,10,0,5,0,1,0,50,15,0,0,9,10,0,0,0,0,0,0,0,summer,6/8/2021
Lighthouse Cove,6-South,pink,5,0,10,0,0,0,10,0,0,0,35,0,0,0,0,0,0,0,0,summer,6/8/2021
